document		文档
get			获取
element			元素
by			通过
id			ID
className		类名
tagName			标签名
onclick			点击
oninput			输入
onchange		改变
onmouseover		在...之上		
onmouseout		鼠标在...之外
onkeyup			按键弹起
parentNode		父节点
firstChild		第一个子节点
firstElementChild	第一个子节点
lastChild		最后一个子节点
lastElementChild	最后一个子节点
nextSibling 		下一个兄弟节点
nextElementSibling	下一个兄弟节点
previousSibling 	下一个兄弟节点
previousElementSibling	下一个兄弟节点
childNodes		所有子节点
children		所有子节点
createElement		创建子节点
appendChild		添加子节点
removeChild		删除子节点
insertBefore		添加子节点
cloneNode		克隆节点
setAttribute		设置属性
getAttribute		获取属性
removeAttribute		删除属性
innerHTML		标签内容
innerText		标签文本
innerContent		标签文本

offset						偏移
offsetTop					距离定位父盒子顶部距离
offsetLeft					距离定位父盒子左侧距离
offsetWidth					盒子宽带border和padding
offsetHeight					盒子高带border和padding
offsetParent					有定位的父盒子
animate						赋予生命，有生气（编程指动画）
target						目标
speed						速度，步长
abs(ABS)					绝对值
autoPlay(凹凸普类)				自动播放
ceil(赛欧)					天花板（向上）
floor(俯唠)					地板（向下）
leader(勒得儿)					领导者（当前位置）
timer						定时器
scrollTop(死克肉top)				被卷去的头部
scrollLeft(死克肉left)				被卷去的左侧
scrollHeight:   				内容高，不含border
scrollWidth:    				内容宽，不含border
onscroll(on死克肉)				滚动事件
scrollTo(死克肉to)				滚到哪里
event(伊问特)					事件对象
pageX(配置X)					鼠标在页面的横坐标位置
pageY(配置Y)					鼠标在页面的纵坐标位置
clientX(渴赖特X)					鼠标在可视区的横坐标位置
clientY(渴赖特Y)					鼠标在可视区的纵坐标位置
screenX(思渴润X)					鼠标在屏幕的横坐标位置
screenY(思渴润Y)					鼠标在屏幕的纵坐标位置
onmousemove					鼠标移动
onmousedown					鼠标按下
onmouseup					鼠标弹起
clientHeight:(渴赖特)   				盒子高，height+padding
clientWidth:(渴赖特)    				盒子宽，width+padding
clientTop:   					盒子的上border宽
clientLeft:    					盒子的左border宽
stopPropagation(普绕普给申)			停止传播
cancelBubble(抗搜八不欧)				取消冒泡
getComputedStyle(get克目piu替的style)		获取电脑中的属性
currentStyle(咖润特style)			获取当前属性
RegExp(瑞盖克思屁)				正则表达式对象
test(太死特)					练习测试
